State,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Percent,Absolute
Kansas,75.9,71.7,76.8,78.6,75.6,72.1,72.3,80.0,74.6,72.9,72.0,70.2,65.4,69.3,69.8,63.9,62.0,58.5,62.3,-17.9,-13.6
Kentucky,144.5,146.0,146.7,143.0,148.4,150.7,153.0,153.5,151.1,140.7,151.1,150.4,139.2,138.6,139.3,129.4,124.4,115.4,121.2,-16.1,-23.3
Louisiana,224.7,197.7,206.9,202.7,212.4,205.1,211.6,212.4,214.2,200.1,206.1,210.3,199.6,192.3,190.1,190.6,193.4,199.8,199.3,-11.3,-25.4
Maine,22.4,22.5,24.0,23.7,24.0,23.1,21.3,21.0,19.1,18.4,17.7,17.2,15.5,16.3,16.4,16.6,16.1,15.3,14.8,-34.0,-7.6
Maryland,77.6,77.3,77.4,80.3,81.0,83.2,78.2,78.5,74.7,71.4,71.2,66.7,62.1,61.5,64.2,62.3,60.5,55.0,61.7,-20.5,-15.9
Massachusetts,82.5,82.4,83.3,84.7,83.0,84.6,76.6,79.9,76.7,70.3,72.9,68.9,62.7,66.8,65.4,67.2,64.6,65.2,64.6,-21.8,-18.0
Michigan,194.6,190.4,189.7,186.6,189.0,191.2,179.9,182.0,175.7,164.7,167.7,162.7,155.7,164.4,164.3,165.0,154.9,155.9,164.1,-15.6,-30.4
Minnesota,97.7,94.7,97.3,101.4,100.7,101.8,99.0,100.6,100.1,92.4,92.2,91.6,86.7,91.4,96.6,89.9,91.6,91.7,95.2,-2.5,-2.5
Mississippi,61.3,70.0,62.6,64.3,65.8,64.1,66.1,68.2,64.7,60.6,63.3,58.3,59.9,56.9,59.7,61.2,62.3,60.5,63.4,3.4,2.1
Missouri,125.6,130.3,131.5,138.5,139.1,142.1,140.2,139.2,135.9,130.3,135.3,135.7,127.8,133.4,132.9,123.6,119.2,124.9,124.7,-0.7,-0.9
Montana,30.6,31.8,30.1,32.4,34.0,35.1,35.3,36.7,36.0,32.5,34.6,31.7,30.4,31.7,32.2,32.1,30.8,30.8,30.8,0.8,0.2
Nebraska,41.8,43.1,42.6,43.7,43.5,43.9,44.5,44.8,46.8,47.5,50.0,52.5,50.7,53.6,52.3,50.8,48.5,48.1,52.5,25.7,10.7
Nevada,45.5,44.8,41.6,43.8,48.0,50.1,41.6,41.7,40.9,39.5,40.9,37.5,37.5,39.4,40.1,38.1,39.6,39.7,41.0,-9.8,-4.5
New Hampshire,17.5,17.0,17.7,21.0,22.0,21.3,19.4,19.2,18.8,17.1,16.7,16.3,14.7,14.5,15.2,15.3,13.8,13.6,14.3,-18.6,-3.3
New Jersey,122.3,119.7,119.8,121.2,123.7,128.5,121.4,128.9,126.6,109.6,105.5,103.9,98.4,100.8,105.0,103.9,105.8,99.4,105.4,-13.8,-16.9
New Mexico,58.2,58.4,55.4,57.7,58.8,59.4,59.9,59.1,56.5,57.4,53.3,55.7,53.7,53.3,50.2,50.2,48.4,49.1,45.4,-22.1,-12.9
New York,211.7,206.0,200.3,211.0,213.3,209.6,191.1,197.7,187.8,172.1,185.7,175.7,168.0,170.0,177.8,175.6,171.0,166.9,175.9,-16.9,-35.8
